iter	Passed	Remaining
819	22891	5024
820	22915	4996
821	22941	4967
822	22964	4938
823	22989	4910
824	23014	4881
825	23039	4853
826	23068	4825
827	23094	4797
828	23119	4768
829	23143	4740
830	23168	4711
831	23196	4683
832	23224	4656
833	23251	4628
834	23276	4599
835	23302	4571
836	23329	4543
837	23356	4515
838	23383	4487
839	23409	4458
840	23436	4430
841	23461	4402
842	23487	4374
843	23515	4346
844	23541	4318
845	23567	4290
846	23592	4261
847	23618	4233
848	23649	4206
849	23683	4179
850	23714	4152
851	23765	4128
852	23832	4107
853	23862	4079
854	23889	4051
855	23917	4023
856	23947	3995
857	23974	3967
858	24004	3940
859	24032	3912
860	24059	3884
861	24085	3855
862	24111	3827
863	24136	3799
864	24163	3771
865	24187	3742
866	24213	3714
867	24238	3686
868	24263	3657
869	24289	3629
870	24314	3601
871	24340	3572
872	24365	3544
873	24393	3516
874	24418	3488
875	24443	3460
876	24467	3431
877	24493	3403
878	24517	3374
879	24542	3346
880	24566	3318
881	24592	3290
882	24618	3261
883	24642	3233
884	24666	3205
885	24691	3177
886	24720	3149
887	24744	3120
888	24770	3092
889	24795	3064
890	24821	3036
891	24845	3008
892	24870	2980
893	24894	2951
894	24920	2923
895	24944	2895
896	24969	2867
897	24993	2838
898	25022	2811
899	25046	2782
900	25071	2754
901	25095	2726
902	25120	2698
903	25145	2670
904	25170	2642
905	25194	2614
906	25221	2586
907	25245	2557
908	25269	2529
909	25293	2501
910	25321	2473
911	25351	2446
912	25377	2418
913	25402	2390
914	25431	2362
915	25455	2334
916	25481	2306
917	25505	2278
918	25531	2250
919	25554	2222
920	25580	2194
921	25604	2166
922	25630	2138
923	25654	2110
924	25680	2082
925	25704	2054
926	25729	2026
927	25753	1998
928	25778	1970
929	25801	1942
930	25826	1914
931	25851	1886
932	25878	1858
933	25901	1830
934	25928	1802
935	25952	1774
936	25977	1746
937	26001	1718
938	26028	1690
939	26053	1662
940	26080	1635
941	26104	1607
942	26131	1579
943	26158	1551
944	26170	1523
945	26196	1495
946	26224	1467
947	26248	1439
948	26275	1412
949	26301	1384
950	26332	1356
951	26361	1329
952	26394	1301
953	26424	1274
954	26523	1249
955	26559	1222
956	26591	1194
957	26624	1167
958	26656	1139
959	26687	1111
960	26717	1084
961	26747	1056
962	26778	1028
963	26809	1001
964	26839	973
965	26869	945
966	26902	918
967	26932	890
968	26960	862
969	26971	834
970	26998	806
971	27027	778
972	27054	750
973	27081	722
974	27108	695
975	27134	667
976	27161	639
977	27187	611
978	27193	583
979	27221	555
980	27248	527
981	27274	499
982	27300	472
983	27325	444
984	27351	416
985	27376	388
986	27401	360
987	27427	333
988	27455	305
989	27483	277
990	27508	249
991	27534	222
992	27560	194
993	27585	166
994	27611	138
995	27636	110
996	27662	83
997	27687	55
998	27718	27
999	27745	0
